Feature	ID
Breathing more	6.3
Wheezing	6.3
Portal hypertension	6.4
Juandice	6.4
Spider angioma	6.4
Xanthelasma	6.4
Xanthoma that is eruptive	6.4
Palmar xanthoma	6.4
Tendon xanthoma	6.4
Tuberous xanthoma	6.4
Pretibial myxedema	6.4
Arcus senilis	6.4
Lipemia retinalis	6.4
Scleral icterus	6.4
"Abdominal mass that is unilateral and smooth"	6.4
"Abdominal mass that is crossing midline, firm, and irregular"	6.4
Abdominal swelling	6.4
Ascite	6.4
Liver enlargement	6.4
Protruding umbilicus	6.4
Axillary hair absence	6.6
Hirsutism	6.6
Adnexal tenderness	6.6
Genital discharge	6.6
Genital ulcer	6.6
Genital ulcer that is painless	6.6
Gynecomastia	6.6
Pubic hair absence	6.6
Strawberry cervix	6.6
Testes that are small	6.6
Testicular mass	6.6
Uterine bleeding	6.6
Uterine tenderness	6.6
Vaginal discharge that is clumpy and white	6.6
"Vaginal discharge that is thin, gray, and malodorous"	6.6
"Vaginal discharge that is thin, green, and malodorous"	6.6
Vaginal itch	6.6
Vaginal pH less than 4.5	6.6
Vaginal pH more than 4.5	6.6
Dehydrated	6.7
Hypertension that is refractory	6.7
Edema that is nonpitting	6.7
Flushing	6.7
Gigantism	6.7
Macrosomia	6.7
Obesity	6.7
Short	6.7
Tall	6.7
Thin	6.7
Skin darkening	6.7
Stretch mark	6.7
Nails that are brittle	6.7
Edema around the eyes	6.7
Graves orbitopathy	6.7
Lid lag	6.7
Proptosis	6.7
Face that is round	6.7
Facial feature coarsening	6.7
Frontal bossing	6.7
Goiter that is smooth and diffuse	6.7
Goiter that is nodular	6.7
Hair that is coarse and brittle	6.7
Hair that is fine	6.7
Neck mass	6.7
Neck webbing	6.7
Protuberant tongue	6.7
Thyroid enlargement	6.7
Thyroid mass	6.7
Thyroid mass that is hard	6.7
Thyroid tenderness	6.7
Tongue that is large with deep furrows	6.7
Voice that is deep	6.7
Breath with fruity smell	6.7
Kussmaul respiration	6.7
Abdominal obesity	6.7
Hand and foot that are big	6.7
Shoulder hump	6.7
Limbs that are long	6.7
Limbs that are short	6.7
Acne	6.7
Chvostek sign	6.7
Myoedema	6.7
Myxedema	6.7
Trousseau sign	6.7
Cubitus valgus	6.8
Fingers that are spidery	6.8
Joint effusion	6.8
Scoliosis	6.8
Amyloidosis	6.9
Dermatitis	6.9
Gangrene	6.9
Purpuric rash	6.9
Rash	6.9
Onycholysis	6.9
Palm and sole rash	6.9
Alopecia	6.9
Subcutaneous calcification	6.7
Antibody against cyclic citrullinated peptide	7.0
Antibody against nucleic acid	7.0
Antibody against pancreatic B cell	7.0
Antibody against thyroglobulin	7.0
Antibody against thyroid peroxidase	7.0
Antibody against thyroid stimulating hormone receptor	7.0
Blood A fetoprotein	7.1
Blood B human chorionic gonadotropin	7.1
Blood C reactive protein	7.1
Blood follicle stimulating hormone	7.1
Blood growth hormone	7.1
Blood growth hormone after glucose	7.1
Blood insulin-like growth factor 1	7.1
Blood lactate dehydrogenase	7.1
Blood leutenizing hormone	7.1
Blood rheumatoid factor	7.1
High blood adrenocorticotropic hormone	7.1
High blood alanine aminotransferase	7.1
High blood albumin	7.1
High blood aldosterone	7.1
High blood alkaline phosphatase	7.1
High blood androgen	7.1
High blood antidiuretic hormone	7.1
High blood aspartate aminotransferase	7.1
High blood atrium natriuretic peptide	7.1
High blood B human chorionic gonadotropin	7.1
High blood bilirubin	7.1
High blood brain natriuretic peptide	7.1
High blood BVLDL	7.1
High blood calcitonin	7.1
High blood calcium	7.1
High blood catecholamine	7.1
High blood cholesterol	7.1
High blood chylomicron	7.1
High blood cortisol	7.1
High blood creatine	7.1
High blood erythropoietin	7.1
High blood follicle stimulating hormone	7.1
High blood free T3	7.1
High blood free thyroxine	7.1
High blood gastrin	7.1
High blood glucagon	7.1
High blood glucose	7.1
High blood gonadotropic hormone	7.1
High blood growth hormone	7.1
High blood hemoglobin A1c	7.1
High blood IDL	7.1
High blood insulin	7.1
High blood insulin-like growth factor 1	7.1
High blood ketone	7.1
High blood LDL	7.1
High blood leutenizing hormone	7.1
High blood parathyroid hormone	7.1
High blood phosphate	7.1
High blood potassium	7.1
High blood prolactin	7.1
High blood renin	7.1
High blood sodium	7.1
High blood somatostatin	7.1
High blood thyroid stimulating hormone	7.1
High blood triglyceride	7.1
High blood urea nitrogen	7.1
High blood vasoactive intestinal peptide	7.1
High blood VLDL	7.1
Hyperglycemia	7.1
Hyperglycemia that is episodic	7.1
Hyperlipidemia	7.1
Hypoglycemia that is episodic	7.1
Low blood adrenocorticotropic hormone	7.1
Low blood aldosterone	7.1
Low blood antidiuretic hormone	7.1
Low blood calcium	7.1
Low blood cholecystokinin	7.1
Low blood cholesterol	7.1
Low blood clotting factor	7.1
Low blood corticotropin releasing hormone	7.1
Low blood cortisol	7.1
Low blood ferritin	7.1
Low blood follicle stimulating hormone	7.1
Low blood free thyroxine	7.1
Low blood gastric inhibitory peptide	7.1
Low blood gastrin	7.1
Low blood glucagon	7.1
Low blood growth hormone	7.1
Low blood HDL	7.1
Low blood hemoglobin	7.1
Low blood insulin	7.1
Low blood insulin-like growth factor 1	7.1
Low blood LDL	7.1
Low blood leutenizing hormone	7.1
Low blood parathyroid hormone	7.1
Low blood phosphate	7.1
Low blood potassium	7.1
Low blood prolactin	7.1
Low blood renin	7.1
Low blood secretin	7.1
Low blood sodium	7.1
Low blood testosterone	7.1
Low blood thyroid stimulating hormone	7.1
Low blood vitamin D	7.1
Urine white blood cell	7.10
Urine that is dark	7.11
Stool with blood	7.12
Stool with light color	7.13
Low bone density	7.14
Colorectal polyp	7.14
Anion gap metabolic acidosis	7.2
High blood pH	7.2
Low blood pH	7.2
High blood osmolality	7.3
Low blood osmolality	7.3
Serum that is clear	7.3
Serum that is turbid	7.3
Serum with creamy top	7.3
Leukocytosis	7.5
Blood white blood cell	7.5
High blood red blood cell	7.5
Low blood platelet	7.5
Erythrocyte sedimentation rate	7.6
High erythrocyte sedimentation rate	7.6
High urine calcium	7.7
High urine catecholamine	7.7
High urine cortisol	7.7
High urine glucose	7.7
High urine homocysteine	7.7
High urine ketone	7.7
High urine sodium	7.7
Low urine calcium	7.7
High urine pH	7.8
Low urine pH	7.8
High urine osmolality	7.9
Low urine osmolality	7.9
Low urine specific gravity	7.9
Genome X	8.1
Genome XXY	8.1
Genome XY	8.1
Genome HLA-B27	8.2
Genome HLA-B8	8.2
Genome HLA-DR3	8.2
Genome HLA-DR4	8.2
Genome ADHR	8.3
Genome APOB	8.3
Genome APOC2	8.3
Genome APOE	8.3
Genome AR	8.3
Genome BRAF	8.3
Genome CBS	8.3
Genome FBN1	8.3
Genome FGFR3	8.3
Genome GHR	8.3
Genome GNAS	8.3
Genome GPR101	8.3
Genome IGF1	8.3
Genome IGF1R	8.3
Genome LDLR	8.3
Genome LPL	8.3
Genome MEN1	8.3
Genome MEN2A	8.3
Genome MEN2B	8.3
Genome MTR	8.3
Genome NF1	8.3
Genome PDE11	8.3
Genome PRKARIA	8.3
Genome PTC	8.3
Genome RET	8.3
Genome SDHB	8.3
Genome SDHC	8.3
Genome SDHD	8.3
Genome TP53	8.3
Genome TSHR	8.3
Genome VHL	8.3
